id,source,target,type
1,1,2,son of
2,1,2,studied with
3,1,3,studied with
4,1,4,studied with
5,5,1,patron of
6,8,9,studied with
7,9,25,studied with
8,8,25,follower of
9,1,1,colleague of
10,12,13,studied with
11,14,12,patron of
12,15,18,studied with
13,25,27,studied with
14,25,28,studied with
15,25,29,colleague of
16,30,25,patron of
17,25,31,colleague of
18,25,32,colleague of
19,25,32,colleague of
20,33,25,patron of
21,25,34,colleague of
22,25,35,colleague of
23,15,21,son of
24,36,37,studied with
25,36,39,worked for
26,36,40,worked for
27,20,15,follower of
28,38,36,follower of
29,19,15,grandfather of
30,42,41,son of
31,44,45,colleague of
32,49,13,colleague of
33,49,50,colleague of
34,8,54,studied with
35,56,57,studied with
36,56,58,studied with
37,63,8,studied with
38,63,65,studied with
39,63,66,studied with
40,63,67,studied with
41,63,68,studied with
42,69,63,studied with
43,70,63,patron of
44,78,79,son of
45,89,56,studied with
46,90,50,follower of
47,90,92,worked for
48,90,94,worked for
49,90,93,met with
50,90,91,met with
51,96,97,colleague of
52,96,93,met with
53,108,112,worked for
54,108,113,worked for
55,111,118,patron of
56,121,50,studied with
57,124,1,met with
58,124,125,studied with
59,127,128,studied with
60,127,129,studied with
61,127,130,studied with
62,127,131,studied with
63,127,132,colleague of
64,133,14,brother of
65,133,135,worked for
66,133,136,worked for
67,137,14,met with
68,137,133,met with
69,115,108,patron of
70,115,138,patron of
71,145,25,met with
72,145,146,studied with
73,145,147,studied with
74,148,145,studied with
75,167,166,patron of
76,166,168,follower of
77,166,169,colleague of
78,171,170,patron of
79,172,170,patron of
80,173,170,patron of
81,175,174,patron of
82,143,178,studied with
83,109,185,patron of
84,205,185,patron of
85,206,185,patron of
86,176,192,son of
87,12,200,studied with
88,203,146,studied with
89,208,209,worked for
90,254,255,studied with
91,254,255,colleague of
92,260,181,studied with
93,264,57,met with
94,148,269,studied with
95,178,273,studied with
96,287,25,studied with
97,56,18,brother of
98,146,147,studied with
99,147,284,follower of
100,176,361,studied with
101,378,379,colleague of
102,377,25,studied with
103,388,12,studied with
104,400,399,grandfather of
105,202,6,studied with
106,14,404,patron of
107,399,406,grand nephew of
108,407,408,son of
109,32,189,studied with
110,412,413,son of
111,436,250,follower of
112,445,115,worked for
113,460,459,patron of
114,16,22,studied with
115,22,12,colleague of
116,30,56,patron of
117,60,30,son of
118,60,56,patron of
119,59,56,patron of
120,97,93,colleague of
121,101,100,patron of
122,102,100,patron of
123,109,108,patron of
124,110,108,patron of
125,110,185,patron of
126,111,108,patron of
127,114,108,patron of
128,101,137,patron of
129,138,93,follower of
130,179,267,colleague of
131,181,12,studied with
132,181,434,studied with
133,181,47,studied with
134,185,132,met with
135,92,208,patron of
136,376,88,follower of
137,207,426,nephew of
138,428,280,studied with
139,432,13,met with
140,432,92,eulogized
141,434,13,studied with
142,434,172,worked for
143,434,170,colleague of
144,439,47,studied with
145,439,48,studied with
146,262,462,studied with
147,463,262,studied with
148,465,466,studied with
149,262,465,studied with
150,467,464,son of
151,123,470,follower of
152,475,140,son of
153,475,476,met with
154,475,477,described by
155,475,478,described by
156,522,524,son of
157,387,43,follower of
158,189,387,commented the work of
159,555,495,descendant of
160,555,556,patron of
161,555,557,nephew of
162,558,555,son of
163,560,148,son of
164,563,562,studied with
165,566,283,commander of
166,566,567,nephew of
167,566,567,studied with
168,568,559,worked for
169,568,570,follower of
170,568,571,follower of
171,568,572,worked for
172,574,573,teacher of
173,575,573,captor of
174,578,577,teacher of
175,582,47,studied with
176,439,584,great grand father of
177,584,572,worked for
178,586,200,met with
179,595,596,son of
180,140,600,son of
181,381,609,teacher of
182,614,200,follower of
183,616,617,worked for
184,618,616,studied with
185,185,625,follower of
186,93,6,follower of
187,93,4,studied with
188,93,1,studied with
189,634,6,follower of
190,14,639,patron of
191,493,643,son of
192,644,493,captor of
193,645,493,captor of
194,494,671,worked for
195,494,672,colleague of
196,495,493,grandfather of
197,495,675,son of
198,495,677,son of
199,495,678,spouse of
200,495,681,rival of
201,495,680,rival of
202,179,688,colleague of
203,689,499,teacher of
204,499,690,teacher of
205,499,691,teacher of
206,495,682,rival of
207,495,676,cousin of
208,495,679,successor of
209,495,684,rival of
210,495,683,murderer of
211,695,502,eulogized
212,694,502,teacher of
213,700,654,worked for
214,701,495,descendant of
215,200,702,teacher of
216,716,717,teacher of
217,503,724,descendant of
218,503,723,descendant of
219,503,725,worked for
220,503,728,teacher of
221,727,503,teacher of
222,726,503,teacher of
223,733,512,brother of
224,734,512,teacher of
225,512,1247,teacher of
226,735,512,met with
227,736,512,patron of
228,737,512,patron of
229,738,512,patron of
230,733,512,teacher of
231,512,739,teacher of
232,512,732,son of
233,740,527,teacher of
234,743,522,biographer of
235,522,744,follower of
236,745,522,patron of
237,750,539,teacher of
238,751,539,teacher of
239,659,539,teacher of
240,752,539,teacher of
241,753,539,teacher of
242,539,750,son of
243,754,539,teacher of
244,1,543,teacher of
245,5,543,eulogized
246,755,543,colleague of
247,758,586,rival of
248,758,759,rival of
249,811,810,teacher of
250,849,135,captor of
251,849,13,colleague of
252,849,850,worked for
253,849,851,worked for
254,857,821,teacher of
255,858,821,teacher of
256,859,821,teacher of
257,821,860,worked for
258,13,826,teacher of
259,754,826,biographer of
260,826,861,teacher of
261,872,871,teacher of
262,197,871,teacher of
263,518,871,teacher of
264,871,874,teacher of
265,871,805,teacher of
266,281,22,studied with
267,281,22,commented the work of
268,875,877,descendant of
269,879,875,teacher of
270,878,875,teacher of
271,875,880,colleague of
272,875,753,teacher of
273,875,881,teacher of
274,916,6,commented the work of
275,920,919,teacher of
276,921,919,teacher of
277,919,144,teacher of
278,936,935,teacher of
279,941,727,teacher of
280,941,434,teacher of
281,941,942,teacher of
282,946,945,teacher of
283,947,945,teacher of
284,948,945,teacher of
285,949,945,teacher of
286,953,945,son of
287,953,954,worked for
288,945,951,teacher of
289,945,952,teacher of
290,957,752,teacher of
291,958,752,teacher of
292,959,752,teacher of
293,960,752,teacher of
294,499,924,teacher of
295,971,924,teacher of
296,972,865,teacher of
297,586,972,teacher of
298,956,173,worked for
299,956,172,worked for
300,956,109,worked for
301,173,956,patron of
302,173,172,brother of
303,109,172,son of
304,109,173,nephew of
305,987,985,teacher of
306,988,985,teacher of
307,989,985,teacher of
308,990,985,teacher of
309,991,985,met with
310,985,992,teacher of
311,985,993,teacher of
312,985,994,teacher of
313,1003,743,great grand father of
314,1004,743,cousin of
315,1005,743,brother of
316,743,1006,worked for
317,743,1007,worked for
318,1014,272,met with
319,1014,1035,worked for
320,6,998,teacher of
321,1036,997,teacher of
322,997,1036,son of
323,1037,997,follower of
324,1038,997,follower of
325,1039,997,follower of
326,1040,1029,teacher of
327,1041,1029,teacher of
328,1029,434,teacher of
329,1029,1042,teacher of
330,1029,13,met with
331,996,1071,son of
332,1072,996,met with
333,1073,996,teacher of
334,996,1,met with
335,996,754,described by
336,996,1074,teacher of
337,996,1075,teacher of
338,996,1076,teacher of
339,996,600,teacher of
340,996,1078,teacher of
341,1102,1052,teacher of
342,1103,1052,teacher of
343,1105,1043,teacher of
344,1043,1104,descendant of
345,1043,18,follower of
346,1106,1043,met with
347,272,6,met with
348,17,1112,teacher of
349,434,1134,teacher of
350,434,1138,teacher of
351,1185,1152,teacher of
352,1152,1186,worked for
353,1152,1187,worked for
354,1188,1152,rival of
355,1159,1189,son of
356,1159,1176,teacher of
357,1159,1190,worked for
358,1189,1190,worked for
359,524,1161,biographer of
360,1161,1191,worked for
361,1161,1192,worked for
362,1193,1166,teacher of
363,1171,1194,worked for
364,1174,1,descendant of
365,1212,860,son of
366,1185,1188,teacher of
367,1185,123,teacher of
368,1244,1185,teacher of
369,1152,1244,son of
370,1244,1152,teacher of
371,1185,1245,worked for
372,1185,1246,worked for
373,123,1245,worked for
374,1247,1204,teacher of
375,1204,1248,worked for
376,1204,1249,worked for
377,1072,1043,studied with
378,1517,1196,teacher of
379,1517,1518,worked for
380,1196,1518,worked for
381,1196,1519,worked for
382,1196,1520,worked for
383,1558,1009,son of
384,1564,1563,son of
385,585,586,follower of
386,585,110,patron of
387,1642,272,described by
388,1646,1645,teacher of
389,12,1646,teacher of
390,1654,1594,patron of
391,1655,1594,patron of
392,1656,1594,studied with
393,1667,1666,son of
394,1668,1667,son of
395,1669,1668,son of
396,1670,1669,son of
397,1666,1668,grandfather of
398,1666,1669,great grand father of
399,1667,1669,grandfather of
400,1667,1670,great grand father of
401,1668,1670,grandfather of
402,1597,1675,colleague of
403,1597,108,colleague of
404,1597,1676,colleague of
405,1597,113,worked for
406,1598,1678,worked for
407,1598,1679,colleague of
408,1600,1681,studied with
409,1600,1682,studied with
410,1600,1683,studied with
411,1684,84,teacher of
412,1685,84,met with
413,1686,84,met with
414,84,1688,teacher of
415,1707,1205,teacher of
416,948,1205,teacher of
417,1708,1205,teacher of
418,1709,1205,teacher of
419,1710,1205,met with
420,1205,1711,worked for
421,1220,1205,teacher of
422,1205,1712,worked for
423,6,917,teacher of
424,1713,1220,teacher of
425,886,1237,teacher of
426,1714,1237,teacher of
427,1237,434,teacher of
428,960,1250,teacher of
429,1715,1250,teacher of
430,1250,119,teacher of
431,1250,1716,teacher of
432,1252,1717,worked for
433,616,1254,teacher of
434,1718,1254,teacher of
435,293,5,worked for
436,293,1721,worked for
437,293,1722,follower of
438,1723,1322,patron of
439,1724,1322,colleague of
440,1333,1186,worked for
441,1270,140,colleague of
442,1270,1725,teacher of
443,779,1278,teacher of
444,778,1278,teacher of
445,760,1278,teacher of
446,1278,1726,teacher of
447,1278,1451,teacher of
448,13,1295,teacher of
449,1295,1727,worked for
450,1295,1728,teacher of
451,1729,1296,teacher of
452,1730,1296,teacher of
453,1296,1731,teacher of
454,1296,771,teacher of
455,1286,1106,worked for
456,1736,874,teacher of
457,1737,874,teacher of
458,1738,874,teacher of
459,1740,874,teacher of
460,874,1742,teacher of
461,874,45,teacher of
462,1205,1741,son of
463,874,1743,teacher of
464,1188,1741,teacher of
465,874,1187,worked for
466,1603,1744,worked for
467,1746,1174,studied with
468,1747,1746,teacher of
469,1746,115,worked for
470,1746,582,met with
471,1746,575,met with
472,1746,439,rival of
473,1748,1746,met with
474,1746,1749,met with
475,1746,1750,teacher of
476,1188,1733,worked for
477,1188,1734,worked for
478,1188,1735,worked for
479,1188,1739,worked for
480,1188,1739,captor of
481,1732,1309,teacher of
482,1752,1309,murderer of
483,6,1605,teacher of
484,1605,6,met with
485,1633,1719,teacher of
486,13,1719,teacher of
487,14,1719,patron of
488,1753,1719,patron of
489,1719,12,teacher of
490,1719,791,teacher of
491,1719,637,met with
492,1754,872,patron of
493,1755,872,patron of
494,1621,1608,teacher of
495,1756,1608,patron of
496,1757,1608,patron of
497,1758,1608,met with
498,1759,1608,met with
499,1608,512,teacher of
500,1608,871,teacher of
501,1608,1760,teacher of
502,1608,704,met with
503,1312,1520,worked for
504,1312,633,worked for
505,1316,1761,teacher of
506,1321,1712,eulogized
507,1321,1762,eulogized
508,1321,1763,eulogized
509,1321,851,eulogized
510,1321,815,met with
511,1325,724,descendant of
512,1764,1325,teacher of
513,1765,873,teacher of
514,1766,657,teacher of
515,657,1767,teacher of
516,1768,1370,teacher of
517,1769,1370,teacher of
518,1770,1370,patron of
519,1370,265,teacher of
520,1380,35,son of
521,35,1380,teacher of
522,1380,1771,teacher of
523,1380,1584,teacher of
524,959,1351,teacher of
525,959,960,teacher of
526,959,754,teacher of
527,959,1772,teacher of
528,959,1372,successor of
529,1286,1711,worked for
530,1286,261,brother of
531,1205,1397,teacher of
532,1397,1762,worked for
533,1773,1397,met with
534,1609,1774,worked for
535,200,1404,teacher of
536,1775,1404,met with
537,878,1404,met with
538,1776,1424,teacher of
539,1777,1424,teacher of
540,1778,1424,teacher of
541,771,1424,teacher of
542,1105,1424,patron of
543,1424,1779,worked for
544,1424,1186,worked for
545,18,690,teacher of
546,18,655,teacher of
547,1780,1612,met with
548,1686,1612,met with
549,633,1612,patron of
550,1612,1781,teacher of
551,1684,1613,teacher of
552,1782,1613,teacher of
553,720,1613,teacher of
554,1608,1614,teacher of
555,873,1614,teacher of
556,1783,1614,teacher of
557,1785,1614,teacher of
558,872,1614,met with
559,1614,874,teacher of
560,1614,1786,teacher of
561,1614,1787,teacher of
562,1614,781,teacher of
563,586,1074,met with
564,1074,200,met with
565,1074,1807,teacher of
566,690,1427,teacher of
567,1808,1427,teacher of
568,1809,1427,teacher of
569,1427,1811,teacher of
570,1427,1810,teacher of
571,1812,1615,teacher of
572,1813,1615,teacher of
573,1615,1190,worked for
574,1770,1615,patron of
575,1615,1814,teacher of
576,1815,1617,teacher of
577,1816,1617,teacher of
578,1817,1617,teacher of
579,1818,1617,teacher of
580,1819,1617,patron of
581,1820,1617,patron of
582,1617,1821,teacher of
583,1617,1822,teacher of
584,778,1451,teacher of
585,760,1451,teacher of
586,1451,1823,teacher of
587,1451,1824,teacher of
588,1451,1726,teacher of
589,779,1454,teacher of
590,778,1454,teacher of
591,1454,691,teacher of
592,1454,1824,teacher of
593,1825,1483,teacher of
594,1810,1483,teacher of
595,1483,1825,son of
596,1483,434,teacher of
597,1483,1826,teacher of
598,1176,1827,worked for
599,1176,1828,worked for
600,1176,1829,worked for
601,1176,1622,teacher of
602,1830,1176,patron of
603,1831,1176,patron of
604,1166,1176,patron of
605,1832,1176,patron of
606,202,1168,teacher of
607,1618,1833,worked for
608,1619,1834,worked for
609,1836,1620,teacher of
610,1620,1837,teacher of
611,1620,1838,teacher of
612,1620,704,teacher of
613,1840,720,teacher of
614,1535,720,teacher of
615,1841,720,teacher of
616,1842,720,teacher of
617,1843,720,patron of
618,720,1844,teacher of
619,720,1621,teacher of
620,1782,1621,teacher of
621,1846,1621,teacher of
622,1847,1621,teacher of
623,1848,1621,teacher of
624,1613,1621,teacher of
625,1849,1621,teacher of
626,1850,1621,met with
627,1851,1621,met with
628,1852,1621,patron of
629,1621,1312,rival of
630,1621,1853,teacher of
631,1621,1854,teacher of
632,1622,1855,worked for
633,1856,1622,patron of
634,1517,459,teacher of
635,1675,110,worked for
636,1624,1860,worked for
637,1624,1860,teacher of
638,1624,383,colleague of
639,13,1672,teacher of
640,1660,1865,nephew of
641,1660,1866,nephew of
642,1867,1660,met with
643,771,1632,met with
644,1868,1632,met with
645,1677,1874,teacher of
646,1677,1875,teacher of
647,1677,1873,worked for
648,1,1633,teacher of
649,1672,1633,teacher of
650,1633,384,teacher of
651,1633,1347,teacher of
652,1569,1876,eulogized
653,1877,1532,teacher of
654,1878,1532,teacher of
655,1532,1581,teacher of
656,1768,1535,teacher of
657,1813,1535,teacher of
658,1535,1879,teacher of
659,1535,1841,teacher of
660,1535,1880,teacher of
661,1535,892,teacher of
662,1526,644,son of
663,1122,1649,patron of
664,12,1693,teacher of
665,1882,1291,patron of
666,1883,1291,patron of
667,1291,1884,teacher of
668,1633,1347,teacher of
669,1347,586,met with
670,1885,1347,met with
671,1347,209,worked for
672,133,1347,patron of
673,1886,1665,teacher of
674,1665,1887,worked for
675,1665,1888,worked for
676,1952,489,brother of
677,2145,206,worked for
678,2184,1621,studied with
679,2255,2256,son of
680,2255,2254,brother of
681,2254,2256,son of
682,2306,2305,son of
683,2306,2304,grandfather of
684,2314,2313,son of
685,2364,2363,son of
686,499,1185,teacher of
687,2405,1936,eulogized
688,2406,1936,eulogized
689,2407,1936,eulogized
690,1936,1711,worked for
691,425,1972,teacher of
692,1996,2408,worked for
693,2091,724,descendant of
694,434,2091,teacher of
695,2414,2427,worked for
696,2437,2436,son of
697,1011,4,studied with
698,1011,125,follower of
699,1711,1011,patron of
700,1711,1011,murderer of
701,2463,2464,son of
702,2488,669,studied with
703,2491,658,met with
704,2491,771,teacher of
705,2491,649,teacher of
706,2499,22,studied with
707,2516,1743,studied with
708,2516,45,studied with
709,2535,2534,son of
710,2129,2548,worked for
711,1908,470,studied with
712,2549,1908,teacher of
713,1908,1190,worked for
714,1908,776,teacher of
715,2550,960,teacher of
716,2551,960,teacher of
717,2552,960,teacher of
718,2553,960,teacher of
719,2554,960,teacher of
720,960,754,teacher of
721,960,431,teacher of
722,960,2555,teacher of
723,960,2556,teacher of
724,960,882,teacher of
725,960,752,teacher of
726,960,428,teacher of
727,2682,2681,son of
728,2759,2760,son of
729,3009,3024,teacher of
730,3043,3042,son of
731,1,3087,teacher of
732,3104,3103,son of
733,1889,568,follower of
734,572,1889,patron of
735,3219,1889,patron of
736,3247,3248,son of
737,3366,3365,spouse of
738,3373,3372,brother of
739,1956,3393,worked for
740,1956,3394,studied with
741,1956,3395,studied with
742,1956,3396,studied with
743,3397,1980,teacher of
744,3398,1980,teacher of
745,3399,1980,teacher of
746,3400,1980,teacher of
747,3401,1980,teacher of
748,976,1907,studied with
749,3412,976,teacher of
750,3413,2000,teacher of
751,3414,2000,teacher of
752,1732,2000,teacher of
753,3415,2000,teacher of
754,2019,1852,worked for
755,2021,948,studied with
756,3449,2021,teacher of
757,3450,2021,teacher of
758,3451,2021,teacher of
759,3452,2021,teacher of
760,3453,1103,teacher of
761,3481,3480,son of
762,3490,1103,teacher of
763,3491,1103,teacher of
764,3492,1103,teacher of
765,3642,742,son of
766,3643,3642,son of
767,742,3643,grandfather of
768,1209,489,son of
769,3642,1209,grandfather of
770,1675,3699,son of
771,3525,3717,son of
772,3773,3774,son of
773,3830,1226,teacher of
774,3831,1226,teacher of
775,1226,3834,teacher of
776,948,3836,son of
777,1226,3836,teacher of
778,1,4382,studied in
779,1,4384,lived in
780,1,4386,born in
781,1,4388,studied in
782,1,4390,taught in
783,4,4388,taught in
784,4,4388,lived in
785,12,4404,born in
786,12,4388,studied in
787,12,4406,lived in
788,12,4407,lived in
789,12,4409,lived in
790,12,4410,visited
791,12,4411,visited
792,12,4413,visited
793,12,4410,lived in
794,12,4415,lived in
795,12,4410,died in
796,14,4383,lived in
797,15,4416,born in
798,12,4415,visited
799,15,4418,ancestral country of
800,15,4419,imprisoned in
801,15,4416,lived in
802,15,4416,studied in
803,15,4416,taught in
804,15,4416,executed in
805,15,4416,buried in
806,24,4419,lived in
807,24,4419,work in
808,24,4419,lived in
809,24,4390,executed in
810,24,4390,executed in
811,24,4422,ancestral country of
812,24,4423,ancestral country of
813,25,4426,ancestral country of
814,25,4400,studied in
815,25,4425,born in
816,18,4416,visited
817,20,4416,work in
818,25,4426,studied in
819,25,4427,studied in
820,25,4419,visited
821,25,4428,visited
822,25,4428,visited
823,25,4428,visited
824,25,4428,visited
825,25,4426,lived in
826,25,4428,lived in
827,25,4428,lived in
828,25,4400,died in
829,25,4428,visited
830,25,4430,studied in
831,36,4432,born in
832,36,4432,born in
833,36,4433,studied in
834,36,4434,taught in
835,38,4434,lived in
836,38,4434,studied in
837,19,4416,lived in
838,19,4416,work in
839,19,4416,killed in
840,41,4437,born in
841,41,4438,work in
842,41,4438,died in
843,42,4390,work in
844,41,4439,born in
845,44,4440,ancestral country of
846,44,4441,ancestral country of
847,44,4442,ancestral country of
848,46,4413,lived in
849,46,4444,lived in
850,46,4446,work in
851,46,4411,killed in
852,49,4450,lived in
853,49,4450,killed in
854,56,4405,born in
855,56,4405,studied in
856,56,4451,studied in
857,56,4450,studied in
858,56,4419,taught in
859,56,4428,visited
860,56,4430,taught in
861,56,4452,visited
862,56,4453,visited
863,56,4455,visited
864,56,4456,visited
865,56,4405,lived in
866,56,4450,taught in
867,56,4405,died in
868,63,4419,work in
869,89,4457,born in
870,89,4419,studied in
871,89,4458,work in
872,89,4457,taught in
873,90,4386,born in
874,90,4459,lived in
875,90,4430,lived in
876,90,4461,work in
877,90,4462,work in
878,90,4410,visited
879,90,4419,taught in
880,90,4419,died in
881,96,4403,ancestral country of
882,96,4410,died in
883,100,4463,born in
884,100,4404,work in
885,100,4464,work in
886,100,4464,died in
887,108,4465,born in
888,108,4465,died in
889,108,4419,lived in
890,117,4466,buried in
891,117,4467,died in
892,118,4468,born in
893,118,4410,lived in
894,118,4470,lived in
895,119,4430,studied in
896,119,4459,studied in
897,119,4428,work in
898,121,4427,studied in
899,121,4472,lived in
900,121,4450,lived in
901,121,4474,lived in
902,121,4475,lived in
903,121,4476,lived in
904,121,4478,lived in
905,123,4419,lived in
906,123,4419,work in
907,124,4479,born in
908,124,4422,lived in
909,124,4427,lived in
910,124,4438,lived in
911,124,4479,died in
912,126,4415,born in
913,126,4386,lived in
914,126,4451,work in
915,127,4404,lived in
916,127,4419,lived in
917,127,4428,made pilgrimage to
918,127,4455,made pilgrimage to
919,133,4419,ruled over
920,133,4482,died in
921,133,4410,buried in
922,137,4404,born in
923,137,4419,studied in
924,137,4483,visited
925,137,4404,work in
926,137,4428,made pilgrimage to
927,137,4404,buried in
928,138,4464,lived in
929,145,4485,born in
930,159,4486,born in
931,159,4459,work in
932,166,4487,born in
933,166,4488,work in
934,166,4490,work in
935,166,4491,work in
936,166,4476,lived in
937,166,4476,died in
938,170,4416,ancestral country of
939,170,4416,born in
940,170,4492,work in
941,177,4493,ancestral country of
942,177,4494,ancestral country of
943,177,4459,lived in
944,178,4495,ancestral country of
945,178,4450,lived in
946,180,4496,studied in
947,180,4415,taught in
948,180,4450,taught in
949,180,4390,lived in
950,180,4422,lived in
951,180,4497,died in
952,181,4498,born in
953,181,4430,lived in
954,181,4430,died in
955,182,4427,ancestral country of
956,182,4427,buried in
957,185,4464,born in
958,185,4404,lived in
959,185,4452,visited
960,185,4404,died in
961,188,4499,studied in
962,190,4422,born in
963,190,4428,made pilgrimage to
964,190,4419,lived in
965,190,4422,died in
966,191,4500,born in
967,191,4459,lived in
968,191,4459,died in
969,192,4427,died in
970,194,4422,died in
971,204,4471,lived in
972,204,4398,visited
973,196,4485,born in
974,196,4464,taught in
975,197,4502,lived in
976,198,4503,born in
977,198,4503,work in
978,198,4503,died in
979,199,4430,lived in
980,199,4428,made pilgrimage to
981,199,4428,lived in
982,199,4430,died in
983,200,4404,visited
984,200,4505,lived in
985,200,4459,visited
986,201,4427,died in
987,202,4450,work in
988,203,4427,studied in
989,203,4422,ancestral country of
990,203,4505,lived in
991,207,4507,born in
992,207,4450,died in
993,207,4419,studied in
994,207,4413,visited
995,207,4509,visited
996,207,4510,lived in
997,208,4512,born in
998,208,4438,studied in
999,208,4428,made pilgrimage to
1000,208,4513,visited
1001,208,4514,studied in
1002,208,4515,studied in
1003,208,4477,visited
1004,208,4419,work in
1005,209,4419,executed in
1006,208,4477,visited
1007,208,4419,died in
1008,210,4449,lived in
1009,210,4517,born in
1010,249,4519,ancestral country of
1011,250,4520,born in
1012,252,4521,lived in
1013,253,4450,lived in
1014,253,4450,studied in
1015,254,4450,born in
1016,254,4450,lived in
1017,254,4450,died in
1018,254,4450,buried in
1019,255,4427,born in
1020,255,4428,made pilgrimage to
1021,255,4428,lived in
1022,255,4513,lived in
1023,255,4450,lived in
1024,255,4523,lived in
1025,255,4523,died in
1026,255,4523,buried in
1027,256,4524,born in
1028,256,4452,studied in
1029,256,4459,studied in
1030,256,4459,lived in
1031,256,4430,work in
1032,256,4430,work in
1033,256,4459,died in
1034,256,4459,buried in
1035,257,4525,born in
1036,257,4526,lived in
1037,257,4526,imprisoned in
1038,257,4528,lived in
1039,259,4427,studied in
1040,259,4428,lived in
1041,259,4459,lived in
1042,259,4430,lived in
1043,260,4530,born in
1044,260,4451,studied in
1045,260,4390,studied in
1046,260,4505,visited
1047,260,4532,visited
1048,260,4459,lived in
1049,260,4404,lived in
1050,260,4422,lived in
1051,260,4404,died in
1052,260,4404,buried in
1053,261,4533,born in
1054,261,4457,lived in
1055,262,4534,born in
1056,262,4535,studied in
1057,262,4459,lived in
1058,262,4430,lived in
1059,262,4430,died in
1060,264,4536,born in
1061,264,4536,studied in
1062,264,4404,studied in
1063,264,4537,studied in
1064,264,4419,studied in
1065,264,4419,taught in
1066,264,4450,visited
1067,264,4419,died in
1068,265,4537,born in
1069,266,4538,ancestral country of
1070,267,4386,born in
1071,267,4450,work in
1072,267,4438,work in
1073,267,4539,work in
1074,268,4540,ancestral country of
1075,268,4422,work in
1076,268,4541,work in
1077,269,4422,killed in
1078,269,4427,buried in
1079,271,4542,born in
1080,271,4459,studied in
1081,271,4404,work in
1082,271,4404,lived in
1083,271,4544,lived in
1084,271,4422,lived in
1085,271,4390,lived in
1086,271,4542,died in
1087,271,4544,buried in
1088,274,4438,born in
1089,274,4404,ancestral country of
1090,274,4438,imprisoned in
1091,274,4438,executed in
1092,276,4416,studied in
1093,276,4545,work in
1094,276,4390,lived in
1095,276,4546,buried in
1096,279,4547,ancestral country of
1097,279,4479,work in
1098,279,4450,lived in
1099,279,4547,died in
1100,280,4514,studied in
1101,280,4428,made pilgrimage to
1102,280,4428,lived in
1103,282,4422,born in
1104,282,4419,studied in
1105,282,4427,died in
1106,284,4513,ancestral country of
1107,284,4422,born in
1108,284,4422,died in
1109,286,4430,studied in
1110,286,4419,studied in
1111,286,4430,work in
1112,286,4459,work in
1113,286,4459,died in
1114,289,4540,ancestral country of
1115,290,4550,ancestral country of
1116,290,4551,work in
1117,290,4552,died in
1118,291,4427,lived in
1119,291,4427,died in
1120,295,4405,born in
1121,295,4430,taught in
1122,295,4554,taught in
1123,295,4457,taught in
1124,296,4558,born in
1125,296,4559,ancestral country of
1126,296,4558,died in
1127,297,4409,lived in
1128,298,4505,place of birth
1129,298,4449,lived in
1130,328,4562,born in
1131,328,4411,visited
1132,328,4413,visited
1133,328,4509,visited
1134,328,4464,visited
1135,328,4410,lived in
1136,328,4410,taught in
1137,328,4562,buried in
1138,330,4564,ancestral country of
1139,330,4419,studied in
1140,331,4430,born in
1141,331,4459,lived in
1142,6,4427,born in
1143,6,4416,died in
1144,6,4398,visited
1145,147,4485,born in
1146,147,4485,buried in
1147,333,4450,born in
1148,333,4427,visited
1149,333,4400,visited
1150,333,4451,visited
1151,333,4567,work in
1152,333,4438,work in
1153,333,4438,work in
1154,333,4450,died in
1155,334,4568,studied in
1156,334,4546,studied in
1157,334,4419,studied in
1158,334,4428,studied in
1159,334,4416,lived in
1160,334,4386,work in
1161,334,4386,died in
1162,343,4450,ancestral country of
1163,344,4570,ancestral country of
1164,344,4416,born in
1165,344,4416,studied in
1166,344,4398,studied in
1167,344,4546,studied in
1168,344,4450,studied in
1169,344,4568,studied in
1170,357,4386,lived in
1171,360,4438,lived in
1172,360,4541,lived in
1173,360,4525,work in
1174,360,4450,visited
1175,360,4390,visited
1176,360,4438,died in
1177,360,4438,buried in
1178,361,4528,ancestral country of
1179,363,4459,visited
1180,363,4571,lived in
1181,365,4419,born in
1182,365,4573,ancestral country of
1183,365,4574,died in
1184,372,4386,work in
1185,372,4419,work in
1186,372,4386,born in
1187,373,4430,born in
1188,373,4471,ancestral country of
1189,373,4430,work in
1190,373,4554,work in
1191,373,4452,work in
1192,373,4411,work in
1193,373,4430,died in
1194,375,4406,ancestral country of
1195,375,4419,lived in
1196,375,4416,lived in
1197,378,4503,ancestral country of
1198,378,4575,died in
1199,380,4576,ancestral country of
1200,381,4405,born in
1201,382,4430,born in
1202,382,4444,ancestral country of
1203,382,4428,made pilgrimage to
1204,382,4452,made pilgrimage to
1205,382,4411,visited
1206,383,4481,born in
1207,383,4398,work in
1208,383,4422,work in
1209,384,4568,born in
1210,384,4388,taught in
1211,384,4568,buried in
1212,388,4559,ancestral country of
1213,388,4450,lived in
1214,388,4410,studied in
1215,392,4578,born in
1216,397,4419,born in
1217,397,4419,died in
1218,398,4430,studied in
1219,398,4579,studied in
1220,398,4581,studied in
1221,398,4582,studied in
1222,398,4584,studied in
1223,398,4585,studied in
1224,398,4586,studied in
1225,398,4428,taught in
1226,403,4419,lived in
1227,404,4587,lived in
1228,32,4419,born in
1229,32,4419,died in
1230,32,4419,buried in
1231,419,4554,ancestral country of
1232,419,4452,visited
