id,source,target,type
22222,10980,13694,contains
22223,10980,13695,contains
22224,10980,13696,contains
22225,10980,13697,contains
22226,10980,13698,contains
22227,10980,13699,contains
22228,10981,13700,contains
22229,10981,13701,contains
22230,10981,13702,contains
22231,10981,13703,contains
22232,10981,13704,contains
22233,10981,13705,contains
22234,10981,13706,contains
22235,10981,13707,contains
22236,10981,13708,contains
22237,10983,13709,contains
22238,10983,13710,contains
22239,10983,13711,contains
22240,10984,13712,contains
22241,10984,13713,contains
22242,10984,13714,contains
22243,10984,13715,contains
22244,10984,13716,contains
22245,10984,13717,contains
22246,10985,13718,contains
22247,10985,13719,contains
22248,10985,13720,contains
22249,10985,13721,contains
22250,10985,13722,contains
22251,10985,13723,contains
22252,10985,13724,contains
22253,10985,13725,contains
22254,10985,13726,contains
22255,10986,13727,contains
22256,10986,13728,contains
22257,10986,13729,contains
22258,10986,13730,contains
22259,10993,13731,contains
22260,10993,13732,contains
22261,10993,13733,contains
22262,10993,13734,contains
22263,10993,13735,contains
22264,10993,13736,contains
22265,10994,13737,contains
22266,10995,13741,contains
22267,10996,13742,contains
22268,10997,13743,contains
22269,10997,13744,contains
22270,10997,13745,contains
22271,10997,13746,contains
22272,10997,13747,contains
22273,10997,13748,contains
22274,11003,13749,contains
22275,11004,13750,contains
22276,11005,13751,contains
22277,11005,13752,contains
22278,11006,13753,contains
22279,11006,13754,contains
22280,11006,13755,contains
22281,11006,13756,contains
22282,11007,13757,contains
22283,11007,13758,contains
22284,11007,13759,contains
22285,11012,13760,contains
22286,11013,13761,contains
22287,11014,13762,contains
22288,11014,13763,contains
22289,11014,13764,contains
22290,11014,13765,contains
22291,11016,13766,contains
22292,11016,13767,contains
22293,11016,13768,contains
22294,11017,13769,contains
22295,11017,13770,contains
22296,11018,13771,contains
22297,11018,13772,contains
22298,11018,13773,contains
22299,11018,13774,contains
22300,11018,13775,contains
22301,11022,13776,contains
22302,11026,13777,contains
22303,11026,13779,contains
22304,11026,13780,contains
22305,11026,13781,contains
22306,11026,13782,contains
22307,11026,13783,contains
22308,11026,13784,contains
22309,11027,13785,contains
22310,11028,13786,contains
22311,11028,13787,contains
22312,11028,13788,contains
22313,11028,13789,contains
22314,11028,13790,contains
22315,11034,13791,contains
22316,11034,13792,contains
22317,11034,13793,contains
22318,11034,13794,contains
22319,11035,13795,contains
22320,11035,13796,contains
22321,11035,13797,contains
22322,11037,13798,contains
22323,11037,13799,contains
22324,11037,13800,contains
22325,11037,13801,contains
22326,11038,13802,contains
22327,11038,13803,contains
22328,11038,13804,contains
22329,11038,13805,contains
22330,11038,13806,contains
22331,11038,13807,contains
22332,11039,13808,contains
22333,11039,13809,contains
22334,11039,13810,contains
22335,11039,13811,contains
22336,11040,13812,contains
22337,11040,13813,contains
22338,11040,13814,contains
22339,11041,13815,contains
22340,11002,13816,contains
22341,11002,13817,contains
22342,11002,13818,contains
22343,11049,13819,contains
22344,11049,13820,contains
22345,11049,13821,contains
22346,11049,13822,contains
22347,11049,13823,contains
22348,11050,13824,contains
22349,11050,13825,contains
22350,11050,13826,contains
22351,11052,13827,contains
22352,11047,13828,contains
22353,11055,13829,contains
22354,11056,13830,contains
22355,11056,13831,contains
22356,11056,13832,contains
22357,11056,13833,contains
22358,11056,13834,contains
22359,11056,13835,contains
22360,11056,13836,contains
22361,11056,13837,contains
22362,11056,13838,contains
22363,11058,13839,contains
22364,11059,13840,contains
22365,11059,13841,contains
22366,11059,13842,contains
22367,11059,13843,contains
22368,11059,13844,contains
22369,11059,13845,contains
22370,11060,13846,contains
22371,11060,13847,contains
22372,11060,13848,contains
22373,11060,13849,contains
22374,11060,13850,contains
22375,11060,13851,contains
22376,11060,13852,contains
22377,11060,13853,contains
22378,11065,13854,contains
22379,11076,13855,contains
22380,11077,13856,contains
22381,11082,13857,contains
22382,11082,13858,contains
22383,11082,13859,contains
22384,11082,13860,contains
22385,11088,13861,contains
22386,11088,13862,contains
22387,11088,13863,contains
22388,11090,13864,contains
22389,11092,13865,contains
22390,11092,13866,contains
22391,11097,13867,contains
22392,11105,13868,contains
22393,11105,13869,contains
22394,11109,13870,contains
22395,11109,13871,contains
22396,11109,13872,contains
22397,11109,13873,contains
22398,11110,13874,contains
22399,11113,13875,contains
22400,11113,13876,contains
22401,11113,13877,contains
22402,11114,13878,contains
22403,11114,13879,contains
22404,11115,13880,contains
22405,11115,13881,contains
22406,11115,13882,contains
22407,11117,13883,contains
22408,11118,13884,contains
22409,11119,13885,contains
22410,11119,13886,contains
22411,11119,13887,contains
22412,11119,13888,contains
22413,11119,13889,contains
22414,11119,13890,contains
22415,11119,13891,contains
22416,11119,13892,contains
22417,11119,13893,contains
22418,11119,13894,contains
22419,11120,13895,contains
22420,11120,13896,contains
22421,11120,13897,contains
22422,11120,13898,contains
22423,11121,13899,contains
22424,11121,13900,contains
22425,11121,13901,contains
22426,11121,13902,contains
22427,11121,13903,contains
22428,11121,13904,contains
22429,11122,13905,contains
22430,11122,13906,contains
22431,11122,13907,contains
22432,11122,13908,contains
22433,11122,13909,contains
22434,11122,13910,contains
22435,11122,13911,contains
22436,11122,13912,contains
22437,11122,13913,contains
22438,11123,13914,contains
22439,11123,13915,contains
22440,11123,13916,contains
22441,11123,13917,contains
22442,11123,13918,contains
22443,11123,13919,contains
22444,11123,13920,contains
22445,11123,13921,contains
22446,11123,13922,contains
22447,11123,13923,contains
22448,11124,13924,contains
22449,11124,13925,contains
22450,11124,13926,contains
22451,11124,13927,contains
22452,11124,13928,contains
22453,11125,13929,contains
22454,11125,13930,contains
22455,11125,13931,contains
22456,11125,13932,contains
22457,11125,13933,contains
22458,11126,13934,contains
22459,11131,13935,contains
22460,11135,13936,contains
22461,11136,13937,contains
22462,11136,13938,contains
22463,11136,13939,contains
22464,11136,13940,contains
22465,11136,13941,contains
22466,11136,13942,contains
22467,11136,13943,contains
22468,11136,13944,contains
22469,11136,13945,contains
22470,11140,13946,contains
22471,11140,13947,contains
22472,11140,13948,contains
