id,type,label
192,Person,Burhān al-Dīn Maḥmūd al-Marghīnānī (192)
200,Person,Ṣadr al-Dīn Muḥammad al-Qūnawī (200)
203,Person,ʿAlāʾ al-Dīn Muḥammad al-Samarqandī (203)
208,Person,Raḍī al-Dīn Ḥasan al-Ṣāghānī (208)
209,Person,ʿAbd Allāh al-Mustaʿṣim bi-Llāh (209)
254,Person,ʿAsākir al-Dīn Muslim  ibn al-Hajjāj ibn Ward ibn Kawshādh al-Qushayrī al-Nīsābūrī (254)
255,Person,Abū ʿAbd Allāh Muḥammad al-Bukhārī (255)
260,Person,Zayn al-Dīn ʿAlī al-Jurjānī (260)
181,Person,Muḥammad ibn Muḥammad Quṭb al-Dīn al-Rāzī (181)
264,Person,Abū Isḥāq Ibrāhīm al-Fīrūzābādī (264)
269,Person,Ḥusām al-Dīn ʿUmar Ṣadr al-Shahīd (269)
273,Person,Aḥmad ibn Muḥammad Maydānī Naysābūrī (273)
287,Person,Zayn al-Mashāyikh Muḥammad al-Baqqālī (287)
284,Person,Abū Manṣūr Muḥammad al-Māturīdī (284)
361,Person,Fakhr al-Dīn Ḥasan b. Manṣūr b. Abū al-Qāsim Maḥmūd b. ‘Abd al-‘Azīz al-Ūzjandī (361)
378,Person,Abū l-Qāsim Khalaf al-Zahrāwī (378)
379,Person,Gerard of Cremona (379)
377,Person,Jamāl al-Dīn al-Ḥusayn al-Rāzī (377)
388,Person,Niẓām al‐Dīn al-Ḥasan al-Qummī (388)
400,Person,Sayyid Muḥammad Bāqir al-Najafī (400)
399,Person,Sayyid Muḥammad ʿAlī al-Rawḍātī (399)
202,Person,ʻAbd al-Raḥmān ibn ʻAlī Ibn Abī Ṣādiq al-Nīsābūri (202)
6,Person,Abū ʻAlī al-Ḥusayn inb ʿAbd Allāh Ibn Sīnā (6)
404,Person,Tāj al-Dīn Muḥammad al-Isfarāyīnī (404)
406,Person, Sayyid Mujtabā (406)
407,Person,ʿAbd al-Qādir al-Ardabīlī (407)
408,Person,Muḥammad ʿAlī al-Ḥusaynī (408)
189,Person,Muḥammad ibn ʿAbd Allāh al-Khaṭīb al-Tabrīzī (189)
412,Person,ʿAbd al-Bāqī al-Ḥusaynī (412)
413,Person,Muḥammad Ḥusayn al-Ḥusaynī (413)
436,Person,Shams al-Dīn Maʿadd al-Jazarī (436)
250,Person,Abū Muḥammad al-Qāsim al-Ḥarīrī (250)
445,Person,Ismāʾīl al-Abarqūhī (445)
460,Person,ʻAḍud al-Dawla Fannā Khusraw al-Daylamī (460)
459,Person,ʿAlī al-Majūsī (459)
16,Person,Fakhr al-Dīn Aḥmad al-Jārbardī (16)
22,Person,Nāṣir al-Dīn ʿAbd Allāh al-Bayḍāwī (22)
60,Person,Abū l-Fatḥ Muẓaffar Fakhr al-Mulk (60)
59,Person,Naṣr al-Maqdisī (59)
101,Person,Muẓaffar al-Dīn Abū Bakr Qutlugh Khān (101)
100,Person,ʿIzz al-Dīn Ibrāhīm al-Kīshī (100)
102,Person,Turkān Khātūn (102)
110,Person,Ghiyāth al-Dīn Muḥammad al-Hamadānī (110)
114,Person,Dil Shād Khātūn (114)
179,Person,Abū ʿAlī Muḥammad al-Balʿamī (179)
267,Person,Abū Naṣr Muḥammad ibn ʻAbd al-Jabbār al-ʿUtbī (267)
434,Person,Jamāl al-Dīn Ḥasan al-Ḥillī (434)
47,Person,ʿAḍud al-Dīn ʿAbd al-Raḥmān al-Ījī (47)
376,Person,Rashīd al-Dīn al-Maybudī (376)
88,Person,Khwāja ʿAbd Allāh al-Anṣārī (88)
207,Person,Abū Naṣr Ismāʻīl al-Jawharī (207)
426,Person,Isḥāq al-Fārābī (426)
428,Person,Majd al-Dīn Muḥammad al-Fīrūzābādī (428)
280,Person,ʿAfīf al-Dīn ʿAbd Allāh al-Yāfiʿī (280)
432,Person,ʿIzz al-Dīn ʿAbd al-Ḥamīd al-Madāʾinī (432)
439,Person,Saʿd al-Dīn Masʿūd al-Taftāzānī (439)
48,Person,Ḍiyāʾ al-Dīn al-Qrimī (48)
262,Person,Ḍiyāʾ al-Dīn ʿAbd Allāh Ibn al-Bayṭār (262)
462,Person,al-Nabatī Abū l-ʿAbbās (462)
463,Person,Aḥmad ibn al-Qāsim Ibn Abī  Uṣaybiʿa (463)
465,Person,Abū al-Ḥajjāj Ibn Ṭumlūs (465)
466,Person,- Averroes (466)
467,Person, al-Malik al-‘Ādil II (467)
464,Person,Muḥammad al-Kāmil (464)
123,Person,Abū ʿAlī Yaḥyā b. ʿĪsā Ibn Jazla (123)
470,Person,- Abū-Ḥanīfa an-Nuʿmān Ibn-Ṯābit (470)
475,Person,Sulṭān Valad (475)
140,Person,Jalāl al-Dīn Muḥammad Mawlānā Rūmī (140)
476,Person,Muḥammad ibn ʻAlī Shams-i Tabrīzī (476)
477,Person,Šams-ad-Dīn Aḥmad Aflākī (477)
478,Person,Farīdūn Ibn-Aḥmad Sipahsālār (478)
522,Person,Ḥasan ibn Muḥammad Ṣadr al-Dīn Niẓāmī Nayshābūrī (522)
524,Person,Aḥmad Ibn ʿUmar Niẓāmī ʿArūḍī Samarqandī (524)
387,Person,Muḥyī l-Sunna al-Ḥusayn al-Baghawī (387)
43,Person,Muḥammad al-Bukhārī (43)
555,Person,ʿAṭā Allāh b. Faẓl Allāh Jamāl al-Ḥusaynī (555)
495,Person,ʻAlī ibn Abī Ṭālib (495)
556,Person, Abu Sa'id Mirza (556)
557,Person,Aṣīl al-Dīn ‘Abd Allāh Dashtakī (557)
558,Person,Nasīm al-Dīn Muḥammad Ibn Jamāl al-Ḥusaynī (558)
560,Person,‘Abd al-Raḥīm al-Marghīnānī (560)
563,Person,Shams al-Dīn Muḥammad b. Yaḥyā b. ‘Alī Lāhījī Nūrbakhshī (563)
562,Person,Muḥammad Nūrbakhsh (562)
566,Person,‘Alā al-Dīn 'Abd al-'Azīz b. Aḥmad b. Muḥammad al-Bukhārī (566)
283,Person,Muḥammad al-Akhsikātī (283)
567,Person,Fakhr al-Dīn Muḥammad b. Muḥammad b. Ilyās al-Maymarghī al-Nasafī al-Ḥanafī (567)
568,Person,Nūr al-Dīn ‘Abd al-Raḥman al-Jāmī (568)
559,Person,Ali-Shir Nava'i (559)
570,Person,Saʿd-al-Din Kāshgharī (570)
571,Person,Khwāja 'Ubayd Allāh Aḥrār (571)
572,Person,Ḥusayn Bāyqarā (572)
574,Person,Abū Hafs Sirāj al-Dīn al-Bulqīnī (574)
573,Person,Abū al-Khayr Shams al-Dīn Muḥammad b. Muḥammad al-Jazarī (573)
575,Person, Timur (575)
578,Person,Abū Ḥāmid Aḥmad b. Abū Ṭāhir Muḥammad al-Isfarāīnī (578)
577,Person,Abū al-Ḥasan 'Alī b. Muḥammad b. Ḥabīb al-Baṣrī al-Māwardī (577)
582,Person,Shams al-Dīn Muḥammad Ḥāfiẓ Shīrāzī (582)
584,Person,Ṣayf al-Dīn Aḥmad b. Quṭb al-Dīn Yaḥyā b. Shams al-Dīn b. Ṣa’d al-Dīn al-Taftazānī al-Harawī (584)
586,Person,Muḥammad ibn ʿAlī Muḥyī al-Dīn Ibn al-ʻArabī (586)
595,Person,Sharīf Khwāja Īshān 'Umarī (595)
596,Person,Shaykh Khāvand Ṭāhūr b. Shaykh ‘Umar Baghistanī al-‘Umarī (596)
600,Person,Bahāʼ al-Dīn Valad (600)
381,Person,Abū l-Qāsim al-Firdawsī (381)
609,Person,Abū Manṣūr ‘Alī Ibn Aḥmad al- Asadī al-Ṭūsī (609)
614,Person,Muḥammad ibn Abī Bakr al-Rāzī (614)
616,Person,Abū ‘Abd Allāh Aḥmad ibn Muḥammad ibn Ḥanbal al-Shaybānī (616)
617,Person,al-Mutawakkil Ja'far ibn Muḥammad ibn Hārūn (617)
618,Person,Muḥammad b. Ismāʿīl Abū ʿAbd Allāh al-Juʿfī al-Bukhārī (618)
625,Person,Ibrāhīm ibn Shahriyār Kāzerūnī (625)
634,Person,Bahmanyār Abū al-Ḥasan Ibn al-Marzubān (634)
639,Person,ʻAbd al-Muʼmin ibn Yūsuf al-Urmawī (639)
493,Person,ʿAlī ibn al-Ḥusayn Zayn al-ʿĀbidīn (493)
643,Person,"- Ḥusain Ibn-ʿAlī, Imam (643)"
644,Person,Yazīd ibn Muʿāwīyah Yazīd I (644)
645,Person,Al-Walīd ibn Abd al-Malik Walīd I (645)
494,Person,Muḥammad ibn Salāmah al-Quḍāʻī (494)
671,Person,ʻAlī ibn Aḥmad Jarjarāʾī (671)
672,Person,al-Mu'ayyad fi al-Dīn al-Shīrazī (672)
675,Person, Abū Ṭālib ibn ʻAbd al-Muṭṭalib (675)
677,Person, Fāṭimah bint Asad (677)
678,Person, Fāṭimah bint Muḥammad (678)
681,Person, Zubayr ibn al-ʻAwwām (681)
680,Person, Ṭalḥa Ibn-ʿUbaidallāh (680)
688,Person,Abū-Zaid Ḥasan Ibn-Yazīd Sīrāfī (688)
689,Person,ʿAbd al-Jabbār al-Rāzī (689)
499,Person,al-Faḍl ibn al-Ḥasan Ṭabarsī (499)
690,Person,Muḥammad ibn ʻAlī Ibn Shahrāshūb (690)
691,Person,ʿAlī Ibn ʿUbaidallāh Muntajab al-Dīn al-Rāzī (691)
682,Person, Muʻāwiyah ibn Abī Sufyān (682)
676,Person,Muḥammad Prophet (676)
679,Person, ʻUthmān ibn ʻAffān (679)
684,Person, ʻĀʼishah bint Abū Bakr (684)
683,Person,ʻAbd al-Raḥmān ibn ʿAmr Ibn Muljam al-Murādī (683)
695,Person,Abū Bakr ibn Saʻd Zangī (695)
502,Person,Muṣliḥ ibn ʿAbd Allāh Saʿdī Shīrāzī (502)
694,Person,Yūsuf ibn Qizughlī Sibṭ ibn al-Jawzī (694)
700,Person,῾Abd al-Raḥīm b. ῾Alī al-Baysanī (700)
654,Person,Ṣalāḥ al-Dīn Abū Sa’īd Khalīl ibn Kaykaldī ibn ‘Abd Allāh al-‘Alā’ī (654)
701,Person,al-Muḥassin ibn Muḥammad Ibn Karrāmah al-Bayhaqī (701)
702,Person,Muʾayyid al-Dīn Jandī (702)
716,Person,Muḥammad Ibn al-‘Uthmānī (716)
717,Person,Ḍiyā’ al-Dīn Abū Muḥammad b. al-Wazīr Ṣadr al-Dīn Mukhtar b. Abū Muḥammad b. al-Aṣīl (717)
503,Person,Muḥammad ibn ʻAlī Ibn al-Ṭiqṭaqā (503)
724,Person, Ḥasan ibn ʿAlī ibn Abī Ṭālib (724)
723,Person,Qāsim ibn Ibrāhīm Rassī (723)
725,Person, Fakhr al-Dīn ibn ʿĪsā (725)
728,Person, Sharaf al-Dīn ʿUbaydulī (728)
727,Person,ʿAbd al-Razzāq ibn Aḥmad Ibn al-Fuwaṭī (727)
726,Person, Jamāl al-Dīn Dastjirdānī (726)
733,Person,ʻAlī ibn Muḥammad Baṭalyawsī (733)
512,Person,ʻAbd Allāh ibn Muḥammad Baṭalyawsī (512)
734,Person,ʿĀṣım ibn Ayyub Baṭalyawsī (734)
1247,Person, Abū ʻAlī Ghassānī (1247)
735,Person, Rāshid ibn ʻArif (735)
736,Person, ʿAbd-al-Malik ibn Razīn (736)
737,Person, Abū ʿĪsā ibn Labūn (737)
738,Person, al-Mustaʻīn (738)
739,Person,Khalaf ibn ʿAbd-al-Malik Ibn Bashkuwāl (739)
732,Person, Muḥammad ibn Sayyid (732)
740,Person,ʿAbd al-Jabbār ibn Aḥmad Qāḍī ʿAbd al-Jabbār Hamadāni (740)
527,Person,al-Ḥasan ibn Aḥmad Ibn Mattawayh (527)
743,Person,Ḥamd Allāh Mustawfī (743)
744,Person,Muḥammad kūfī (744)
745,Person,Quṭb-ad-Dīn Aibak (745)
750,Person,ʿUmar bin Ḥasan Al-Ḥalabī (750)
